the_geom,PHYSICALID,OBJECTID,STNAME_LAB,BOROUGHCOD,SEGMENTLEN,B5SC,BPHYS_ID,PlntSeas
"LINESTRING (-74.01150567189198 40.70295884350296, -74.0111655805861 40.701781493814075)",48,24,BROAD ST,1,439.18633052,113590,148,Fall11
"LINESTRING (-74.01287851628065 40.702664500890904, -74.01234346004007 40.702756150566834)",114,86,WATER ST,1,152.06586871,133490,1114,Fall13
"LINESTRING (-74.0081264528701 40.70467179677717, -74.00739218802958 40.70518268844734)",121,93,WATER ST,1,275.84645111,133490,1121,Fall13
"LINESTRING (-74.01438184579396 40.70822414368651, -74.01520160115838 40.708456433255144)",136,108,RECTOR ST,1,242.51978384,129440,1136,Fall11
"LINESTRING (-74.00391758977844 40.72004031158225, -74.00351186461783 40.72055635274284)",159,131,CHURCH ST,1,219.08015774,115350,1159,Fall11
"LINESTRING (-74.0105613003394 40.722201657154145, -74.01045182476646 40.722859264147985)",445,389,WASHINGTON ST,1,241.50051332,133390,1445,Fall11
"LINESTRING (-74.00896796780617 40.72674605787803, -74.00884511385952 40.727470157548616)",460,404,GREENWICH ST,1,266.00054045,121790,1460,Spring12
"LINESTRING (-74.00884511385952 40.727470157548616, -74.00872442356493 40.72819516636618)",461,405,GREENWICH ST,1,266.25285658,121790,1461,Spring12
"LINESTRING (-74.00872442356493 40.72819516636618, -74.00859272132082 40.72891527704039)",462,406,GREENWICH ST,1,264.88602114,121790,1462,Spring12
"LINESTRING (-74.00778071891598 40.72456452691214, -74.00766958578386 40.725192279283185)",608,546,HUDSON ST,1,230.774752,123190,1608,Fall14
"LINESTRING (-74.00539036092556 40.73941197259385, -74.00529178802803 40.74002322349898)",631,568,HUDSON ST,1,224.36707127,123190,1631,Spring13
"LINESTRING (-73.99427445670298 40.71562161347863, -73.99495472317896 40.715856471354826)",677,612,CANAL ST,1,207.08472636,114010,1677,Fall07
"LINESTRING (-73.99075515363099 40.71455407281728, -73.99113282082077 40.71466862943536)",683,618,CANAL ST,1,112.7092883,114010,1683,Fall11
"LINESTRING (-73.99022012638989 40.71440494010887, -73.99075515363099 40.71455407281728)",684,619,CANAL ST,1,157.95917471,114010,1684,Fall11
"LINESTRING (-73.98933656558283 40.71413337577776, -73.99022012638989 40.71440494010887)",685,620,CANAL ST,1,264.16959128,114010,1685,Fall11
"LINESTRING (-74.00878392848826 40.73187289257422, -74.01027197515869 40.7320097187471)",695,630,BARROW ST,1,415.41132655,112610,1695,Spring13
"LINESTRING (-74.00296962511027 40.73425234075482, -74.0045613441063 40.73400962882111)",715,650,W 10 ST,1,449.90292256,133970,1715,Spring13
"LINESTRING (-73.99924564883553 40.73478812476456, -73.99997260615302 40.73468790070191)",719,654,W 10 ST,1,204.74867227,133970,1719,Spring13
"LINESTRING (-73.99871443868271 40.734783861557744, -73.99887249148969 40.734838965291985, -73.99924564883551 40.734788125665055)",720,655,W 10 ST,1,153.24479581,133970,1720,Spring13
"LINESTRING (-74.00565777129187 40.726435107159624, -74.00554514443077 40.727156915542295)",743,677,VARICK ST,1,264.82351403,132685,1743,Fall14
"LINESTRING (-74.0027430618397 40.73360826702629, -74.00282971765672 40.73362387973907)",799,730,CHRISTOPHER ST,1,24.68023023,115210,1799,Spring13
"LINESTRING (-74.0012047583461 40.733843091859434, -74.00175809764825 40.733768243519116)",801,732,CHRISTOPHER ST,1,155.75805132,115210,1801,Spring13
"LINESTRING (-74.0003567915695 40.73397278877252, -74.0012047583461 40.733843091859434)",802,733,CHRISTOPHER ST,1,239.70907209,115210,1802,Spring13
"LINESTRING (-73.99965310356397 40.73406971948355, -74.0003567915695 40.73397278877252)",803,734,CHRISTOPHER ST,1,198.19107315,115210,1803,Spring13
"LINESTRING (-74.00482959386191 40.73754746980766, -74.00568704559069 40.73755187916383)",854,783,W 12 ST,1,237.62652762,134010,1854,Spring13
"LINESTRING (-74.00697298804752 40.72949499077293, -74.00840015910491 40.72962826892594)",868,797,CLARKSON ST,1,398.52077582,115420,1868,Spring13
"LINESTRING (-73.99417335258346 40.766504597273425, -73.99371965696626 40.76713262077644)",896,825,11 AV,1,261.05190044,111110,1896,Fall11
"LINESTRING (-74.00207771771674 40.716730895495715, -74.00291863437 40.717147750384264)",952,876,FRANKLIN ST,1,278.2195174,120890,1952,Fall11
"LINESTRING (-74.00095442249557 40.73170609830984, -74.00051066363521 40.732315222921564)",980,902,AVE OF THE AMERICAS,1,253.72358697,110510,1980,Spring13
"LINESTRING (-74.00051066363521 40.732315222921564, -74.00006657704031 40.73292923553128)",981,903,AVE OF THE AMERICAS,1,255.32586594,110510,1981,Spring13
"LINESTRING (-74.00702722189956 40.72449594666048, -74.00778071891598 40.72456452691214)",1048,967,BROOME ST,1,210.34273769,113810,11048,Fall14
"LINESTRING (-74.00427755325616 40.73339151388535, -74.0045613441063 40.73400962882111)",1067,986,BLEECKER ST,1,238.53783576,113310,11067,Spring13
"LINESTRING (-74.00397602150782 40.73291501992636, -74.00427755325616 40.73339151388535)",1068,987,BLEECKER ST,1,192.66812978,113310,11068,Spring13
"LINESTRING (-74.00361195873344 40.73232379427536, -74.00397602150782 40.73291501992636)",1074,993,BLEECKER ST,1,237.86237088,113310,11074,Spring13
"LINESTRING (-74.00355431342676 40.732223479453886, -74.00361195873344 40.73232379427536)",1075,994,BLEECKER ST,1,39.88692765,113310,11075,Spring13
"LINESTRING (-74.00329861608581 40.73174307581575, -74.00344698183861 40.73202121055715, -74.00355431342676 40.732223479453886)",1076,995,BLEECKER ST,1,188.82863985,113310,11076,Spring13
"LINESTRING (-74.00313982250591 40.73146486731568, -74.00329861608577 40.73174307491524)",1077,996,BLEECKER ST,1,110.50178209,113310,11077,Spring13
"LINESTRING (-74.00246883997245 40.73032437267538, -74.0028192209362 40.73091352136375)",1080,999,BLEECKER ST,1,235.59051211,113310,11080,Spring13
"LINESTRING (-74.00497612854684 40.715759939668104, -74.0061668838943 40.71630137683498)",1095,1014,THOMAS ST,1,384.54439485,132580,11095,Fall11
"LINESTRING (-74.00220337250663 40.72965325609243, -74.00134680872713 40.72988696026426, -74.00101918844061 40.73024661771534)",1223,1137,MINETTA ST,1,411.63071628,126190,11223,Spring12
"LINESTRING (-73.99960360348705 40.73104325631449, -74.00095442249557 40.73170609830984)",1266,1179,W 4 ST,1,445.51073346,133910,11266,Spring13
