boro,CD,abused_kids_cd,accidents_death_cd,afterschool_prog_cd,air_qual_cd,alzheimers_deaths_cd,any_exercise_cd,binge_drinking_cd,birth_rate_cd,births_cd,cancer_deaths_cd,chem_air_cd,clean_streets_cd,current_smoker_cd,death_rate_cd,deaths_cd,diabetes_cd,diabetes_deaths_cd,diversion_cd,family_homeless_cd,fd_staff_cd,foreclosure_cd,foster_care_cd,fruits_veggies_cd,health_insurance_cd,healthy_food_sq_footage_cd,heart_disease_deaths_cd,heat_h20_complaints_cd,hiv_test_cd,homeless_children_rate_cd,homeless_children_total_cd,hypertension_deaths_cd,infant_mortality _cd,influenza_deaths_cd,lead_complaints_cd,lead_kids_cd,life_expectancy_cd,low_birth_wght_cd,lower_resp_deaths_cd,medical_respon_cd,non_medical_respon_cd,obesity_cd,pre_term_birth_cd,prenatal_care_cd,residential_fires_cd,sanitation_budget_cd,stroke_death_cd,substance_abuse_related_deaths_cd,sugary_drink_cd,teen_birth_cd,vac_flu_cd,vac_hpv_cd,waste_cd,heat_per_1000_cd,paint_per_1000_cd,sanitation_per_1000_cd,water_per_1000_cd,noise_per_1000_cd,sewer_per_1000_cd,rodent_per_1000_cd,streetsafety_per_1000_cd,homeless_per_1000_cd,bulgaries_cd,felony_assaults_cd,grand_larceny_cd,motor_vehicle_thefts_cd,homicides_cd,robberies_cd,major_felonies_cd,burglaries_per_1000_cd,felony_assaults_per_1000_cd,grand_larcenies_per_1000_cd,motor_vehicle_thefts_per_1000_cd,homicides_per_1000_cd,robberies_per_1000_cd,major_felonies_per_1000_cd,voter_turnout_2014_cd,voted_last_three_years_cd,residential_land_cd,citu_land_cd,park_recreation_land_cd,vacant_parking_land_cd,dem_female_cd,dem_male_cd,rep_female_cd,rep_male_cd,unaff_female_cd,unaff_male_cd,other_female_cd,other_male_cd,dem_cd,rep_cd,unaff_cd,other_cd,female_voter_cd,male_voter_cd,self_reported_health_good_cd,self_reported_health_cd,jail_incar_cd,foreclosure_09_cd,foreclosure_05_cd,prematuremortality_cd,avoidable_asthma_cd,avoidable_diabetes_cd,psychhosp_rate_cd,asthma5to14_cd,alchosp_cd,drughosp_cd,assaulthosp_cd,hiv_deaths_cd
2,201,41.6,14.4,1919147,10,14.1,28.6,17.1,16.6,1562,154.8,112.41,92.5,16.3,7.4,"2,665",13.1,31.9,4.934534157,11.82054,199,20.609319,147,23,75.8,133,201.8,2783,20.1,33.89521306,929,12.9,6.6,29.3,844,2,76.11628278,8.8,30,4184,5255,31.7,9.1,11.1,520,3217502,29.8,20.9,39.7,39.4739,49.4,57,0.261307,38.64,11.15,18.13,12.79486433,10.67,2.481735189,3.27,8.79,0.582448054,131,453,439,104,7,381,1515,2.038568191,4.95713942,5.147068134,1.120579409,0.069640528,3.982172025,17.31516771,16.069,45.082,35.365,37.805,6.571,20.26,87.42,84.45,2.74,4.24,8.01,8.44,1.82,2.88,86.36,3.28,8.17,2.2,64.41,35.59,71.271,28.729,305,24.3,9.7,305.7,749,740,848,112,2333,2669,180,26.4
2,202,42,14,2064932,9.8,13.1,28.6,17.1,16.6,896,150.8,,91.2,16.3,6.8,"1,341",13.1,28.6,8.703898915,12.58844,43,34.74114441,95,23,75.8,114,204.2,2782,20.1,34.68229261,539,11.3,7.8,29.2,761,5,77.5941876,9.2,22,1380,1362,31.7,9.9,14.7,171,3506855,18.1,18.7,39.7,41.30914,49.4,63,0.261307,38.64,11.15,18.13,12.79486433,10.67,2.481735189,3.27,8.79,0.582448054,191,330,374,73,4,248,1220,2.038568191,4.95713942,5.147068134,1.120579409,0.069640528,3.982172025,17.31516771,16.069,45.082,18.697,51.77,8.511,21.022,87.37,84.14,2.85,3.97,8.12,9,1.66,2.9,86.2,3.25,8.44,2.11,63.89,36.11,71.271,28.729,234,40.3,25.5,266.8,619,608,868,88,1905,2218,138,17.3
2,203,35.7,13.2,704824,9.4,6.9,27.4,16.9,17.2,1402,184.8,103,91.1,19.5,8.1,"2,401",13.7,40.7,6.220565326,12.80949,104,36.57978967,109,21,76.1,327,210.1,2628,17.4,33.82453272,834,20.1,7.7,41.4,786,2,75.33829101,9.8,33.4,2869,3459,35,11.1,15.6,489,1799973,27.1,17.9,42,35.18081,46.2,61,0.282632,59,16.85,23.15,13.29539176,11.82,1.889157543,4.14,5.53,0.219807639,171,402,278,97,5,287,1240,2.566402699,5.281324074,4.461500989,1.003986241,0.089111205,3.879307784,17.45391466,16.925,47.889,44.566,14.582,20.168,20.684,88.02,85.2,2.71,3.52,7.6,8.03,1.68,3.25,87.04,2.99,7.75,2.22,65.2,34.8,69.46,30.54,371,29,18,346.3,769,689,1220,89,2367,3130,166,42.1
2,204,38.3,10.7,1475984,10,7,27,15.3,16.8,2531,155.9,,92.7,18,6.9,"3,972",13.7,30.8,7.639643383,8.8475,115,53.04101839,202,20.5,72.3,168,193.9,10259,16.7,24.68186853,1033,17.9,5.5,41.5,2906,5,77.03692377,9.4,25.7,4380,4421,28.6,9.7,13.6,490,4185975,20.1,14,37.6,38.21186,48,57,0.359948,71.62,25.84,27.31,21.78256245,19.09,2.076925288,4.28,4.41,0.316210078,241,673,632,162,15,406,2129,1.731968839,4.836576882,4.541926582,1.164228016,0.10779889,2.917756633,15.30025584,21.826,54.275,42.084,17.248,18.576,22.092,88.49,85.11,2.31,3.46,7.69,8.69,1.51,2.74,87.24,2.74,8.06,1.96,63,37,70.553,29.447,163,47.7,20.2,265.7,596,533,809,55,1801,2027,119,30
2,205,37.2,11.3,1260841,10.1,6.8,26.3,19.3,17.6,2321,137.4,,92.6,18.7,6.3,"2,810",12.1,26.7,9.409868766,9.53782,113,43.87568556,112,20.2,72.7,93,172.3,8639,13.3,25.75440462,970,11.9,5.4,37.4,2460,11,78.90649968,8.7,23.8,4326,4120,30.1,10.1,12.1,577,4093292,25.7,16.3,45.6,45.32803,45.3,51,0.308467,80.14,23.72,27.06,20.59505093,10.54,1.207090539,5.01,3,0.238437637,183,487,411,105,13,309,1508,1.363565239,3.628722794,3.062433405,0.782373498,0.09686529,2.302413436,11.23637366,18.628,50.018,60.03,10.927,8.742,20.3,87.63,84.11,3.11,4.59,7.74,8.84,1.52,2.46,86.35,3.64,8.14,1.86,63.75,36.25,71.764,28.236,230,41.2,20.7,266.2,571,616,1005,55,1931,2342,123,27
2,206,38.3,13.8,1844969,9.5,10.2,27.4,16.9,15.7,1338,167.7,,95.3,19.5,7.5,"2,257",13.7,44.6,10.00453606,12.41038,198,34.13284133,116,21,76.1,69,208.7,4054,17.4,37.55385857,947,16.5,8.7,33.9,1530,4,76.71978951,11.7,27.5,2884,2453,35,12.3,12.4,353,4406178,23.5,22.5,42,38.68326,46.2,51,0.282632,59,16.85,23.15,13.29539176,11.82,1.889157543,4.14,5.53,0.219807639,261,487,473,72,10,366,1669,2.566402699,5.281324074,4.461500989,1.003986241,0.089111205,3.879307784,17.45391466,16.925,47.889,43.919,15.427,6.259,34.396,87.49,83.19,2.64,4.71,7.83,9.16,2.04,2.94,85.98,3.37,8.3,2.36,64.74,35.26,69.46,30.54,220,38.2,16.1,297.5,786,687,1084,87,2163,2760,142,23.7
2,207,34.1,14,2129057,9.4,9.8,24.4,17.9,15.6,2242,143.5,,93.4,13.1,6.8,"3,786",13.5,27.3,10.95584749,6.81617,119,34.22273782,95,19.1,70,114,232.1,11626,28,16.87758548,637,14.5,3.9,30.1,2452,13,78.73744457,10.4,31.7,3379,3462,26.8,7.7,11.6,422,4454493,24.3,12.7,38.6,49.22067,45,48,0.350677,113.85,28.57,27.91,20.18651108,21.77,1.648538135,3.88,5.89,0.218188871,346,520,594,105,7,397,1969,2.796049973,4.202156029,4.800155157,0.848512275,0.056567485,3.208184507,15.91162543,20.218,50.978,48.102,12.217,7.7,31.981,85.94,81.06,3.36,5.32,8.89,10.51,1.81,3.11,84.11,4.09,9.5,2.3,62.51,37.49,74.031,25.969,135,31.7,16,220,507,431,675,59,1659,1589,93,14
2,208,37.6,8.1,460152,8.9,10.8,22.7,15.7,11.2,1159,141.6,,97.3,12,6,"4,985",6.8,17.7,16.74396239,1.2264,99,10.82862524,30,12.8,80.5,142,225.6,4556,36.1,5.021835674,108,14.1,4.1,26.6,460,2,80.45995245,7.1,18.4,1907,2474,19.8,8.6,6.4,243,3923019,15.3,6.5,21.4,17.0106,50.5,34,0.266786,52.54,10.17,14.32,11.6523845,9.63,1.97466468,2.5,9.31,0.195603577,154,110,402,69,1,119,855,1.43442623,1.024590164,3.744411326,0.642697466,0.009314456,1.108420268,7.963859911,26.03,51.252,44.775,5.829,15.919,33.477,80.1,70.87,6.6,10.67,10.64,14.01,2.65,4.45,76.49,8.2,11.96,3.35,60.86,39.14,81.397,18.603,28,15.6,4.5,165.9,192,248,546,30,797,723,42,5.4
2,209,37.1,9.4,2023685,8.9,8.9,25.4,16.1,13.7,2425,154.9,19.8,93.7,15.7,6.5,"4,966",12.9,26.9,7.547203129,5.76518,117,14.18599415,136,22,74.6,181,204.2,5289,20.6,18.53743048,835,14.1,4.4,31.6,1258,5,78.73024326,10.2,19.9,4456,4706,29,10.2,13,527,4705862,17,11.7,36.8,33.89831,42.2,43,0.243922,40.4,9.03,15.93,9.254031499,9.73,2.140095605,1.92,10.7,0.139805241,300,595,608,168,9,493,2173,1.613137391,3.199389159,3.269291779,0.903356939,0.048394122,2.650922446,11.68449183,18.258,47.261,55.231,10.881,19.507,14.38,87.18,82.24,3.04,4.87,7.91,9.52,1.86,3.37,85.34,3.73,8.51,2.42,62.64,37.36,72.134,27.866,129,14.7,6.5,230.7,452,443,554,74,1260,1197,106,10.2
2,210,33.2,11.7,2457378,8.7,8,27.2,12.7,7.8,952,168.5,,98.8,17.6,6,"5,082",18.5,17.6,15.41689944,1.63541,141,15.00110302,23,11.5,90.4,290,198,1822,43.4,6.583819026,164,9.6,3.1,27.7,169,3,80.45010898,9.5,25.7,3202,3167,35.9,11.1,11.9,332,5011305,15.1,9.9,26.1,14.51451,43.3,29,0.240634,16.36,4.2,17.17,7.779762872,6.95,3.288939419,2.03,22.3,0.162416761,137,144,374,116,0,135,906,1.112554816,1.169400682,3.037193438,0.942017216,0,1.09631314,7.357479292,21.167,46.307,46.745,10.142,14.323,28.791,77.21,68.12,10.04,14.45,9.56,12.1,3.19,5.33,73.67,11.75,10.55,4.03,61.04,38.96,77.204,22.796,32,16.3,5.4,196.4,235,272,394,39,846,682,57,3.9
