FID,BoroCD,Shape_Leng,Shape_Area
0,311,51566.989011500002000,3.700955066670000
1,480,45440.919363699999000,1.173802470220000
2,202,49604.473413000000000,2.218931483720000
3,306,82090.019763599994000,3.066737082880000
4,408,69466.685194799997000,7.445616540690000
5,411,97726.662695000006000,9.362392030660001
6,203,33489.439573199998000,1.607504134900000
7,301,69086.588510200003000,4.726412086210000
8,412,65933.851205400002000,9.589309756440001
9,304,37027.877997399999000,2.032700858280000
10,209,62062.516760899998000,4.098359565940000
11,403,41785.544075199999000,2.994686156970000
12,404,37018.508285299999000,2.358103291270000
13,481,53795.118693600001000,1.703951990610000
14,314,49291.791311599998000,2.947658398810000
15,355,23943.678371499998000,0.937263707091000
16,208,47877.488268499998000,3.302780972740000
17,302,74172.923353899998000,2.845566163570000
18,308,38207.771272799997000,1.635827795250000
19,414,212422.729678000000000,7.027688765190000
20,407,139174.729540000000000,11.777984751900000
21,313,65746.939736900007000,3.161945970780000
22,315,115288.541756000010000,4.722201120870000
23,101,73178.709848700004000,1.526413141640000
24,102,34894.371097000003000,1.353053847140000
25,204,31292.440860100000000,1.991995277460000
26,110,35838.779684100002000,1.401755195980000
27,112,56216.498608900001000,2.796879765800000
28,482,32015.334631500002000,0.872007165944000
29,307,88629.725619000004000,3.736628014920000
30,310,44794.111401800001000,3.992871756040000
31,312,52245.830716400000000,3.570003201640000
32,405,70018.413775099994000,7.546398706540000
33,406,42743.822597099999000,2.966439703770000
34,401,90045.693181800001000,6.153142271420000
35,402,72182.747388300006000,5.018043629300000
36,205,29403.018811000002000,1.374262527200000
37,595,110287.442279000000000,1.962199659440000
38,503,189070.018780000010000,21.486434385700001
39,318,190167.080665999990000,8.453515928510001
40,109,34956.474081599998000,1.502705227960000
41,108,52971.676225499999000,1.978680519610000
42,104,67935.227157600006000,1.768106162700000
43,105,35287.620948900003000,1.570997821710000
44,484,247843.940276000010000,4.440480027450000
45,356,265151.287906999990000,4.782677358460000
46,303,36213.701364300003000,2.850293624210000
47,316,32997.455762899997000,1.856954247600000
48,207,44827.424199100002000,1.912003219840000
49,226,32829.412337499998000,1.813993242940000
50,103,30452.420889100002000,1.681668765810000
51,106,40618.006702699997000,1.388304427530000
52,305,65128.451659899998000,5.576873856630000
53,409,50763.109838900004000,3.849734271930000
54,309,29962.791969300000000,1.626010124490000
55,317,43342.163632999996000,3.364365139650000
56,211,45740.586659200002000,3.598301388750000
57,212,84013.424423699995000,5.556385418520000
58,410,105198.366004000000000,6.157770965490000
59,483,107286.009961000000000,6.874472654640000
60,206,35877.025285600001000,1.530535690390000
61,501,157936.427289999990000,13.521484975600000
62,502,142646.547670000000000,21.276713392900000
63,413,139780.900667000010000,12.571787722400000
64,111,60391.269471599997000,2.373319195750000
65,201,33327.947611600001000,2.166731030650000
66,107,39863.612964000000000,1.906652370890000
67,164,32725.898599700002000,1.374200542560000
68,227,28389.787602199998000,1.127502688770000
69,210,280377.303432999990000,6.445323900480000
70,228,110668.506228000000000,3.297225478940000
