boro,cd,age_pyramid_total_puma,median_household_income_puma,median_personal_earnings_puma,no_hs_puma,at_least_hs_puma,complete_hs_somecollege_puma,complete_bach_puma,at_least_bachelors_puma,grad_degree_puma,latino_pop_puma,white_pop_puma,aframer_pop_puma,natamer_pop_puma,asian_api_pop_puma,other_pop_puma,asian_api_total_puma,latino_total_pop_puma,white_total_pop_puma,aframer_total_pop_puma,natamer_total_pop_puma,other_total_pop_puma,unemployment_puma,households_receiving_snap_benefits_puma,renter_occ_puma,owner_occ_puma,median_rent_puma,age_pyramid_male_under_5_puma,age_pyramid_male_5_to_14_puma,age_pyramid_male_15_to_24_puma,age_pyramid_male_25_to_34_puma,age_pyramid_male_35_to_44_puma,age_pyramid_male_45_to_54_puma,age_pyramid_male_55_to_64_puma,age_pyramid_male_65_to_74_puma,age_pyramid_male_75_to_84_puma,age_pyramid_male_85_plus_puma,age_pyramid_female_under_5_puma,age_pyramid_female_5_to_14_puma,age_pyramid_female_15_to_24_puma,age_pyramid_female_25_to_34_puma,age_pyramid_female_35_to_44_puma,age_pyramid_female_45_to_54_puma,age_pyramid_female_55_to_64_puma,age_pyramid_female_65_to_74_puma,age_pyramid_female_75_to_84_puma,age_pyramid_female_85_plus_puma,underfive_puma,undereighteen_puma,sixtyfive_puma,commute_under_30_mins_puma,commute_30_59_mins_puma,commute_60_mins_plus_puma,full_time_workers_puma,part_time_workers_puma,high_cost_h_puma,ex_high_cost_h_puma,foreign_puma,native_puma,north_eur_puma,west_eur_puma,south_eur_puma,east_eur_puma,nec_eur_puma,east_asia_puma,south_cen_asia_puma,south_east_asia_puma,west_asia_puma,nec_asia_puma,east_afr_puma,mid_afr_puma,north_afr_puma,south_afr_puma,west_afr_puma,nec_afr_puma,aus_nz_ocean_puma,fiji_ocean_puma,nec_ocean_puma,carib_amer_puma,cent_amer_puma,south_amer_puma,north_amer_puma,adult_samehome_puma,child_samehome_puma,income_inequality_puma,children_with_medicaid_puma,adult_medicaid_puma,married_puma,divorced_puma,lonely_puma,singlemom_puma,badenglish_speakers_puma,nonenglish_speakers_puma,spanish_speaker_puma,api_speaker_puma,poverty_child_federal_number_puma,poverty_child_federal_percent_puma,poverty_adult_federal_number_puma,poverty_adult_federal_percent_puma,poverty_65_federal_number_puma,poverty_65_federal_percent_puma,poverty_all_ages_federal_number_puma,poverty_all_ages_federal_percent_puma,management_business_science_and_arts_occupations_puma,service_occupations_puma,sales_and_office_occupations_puma,natural_resources_construction_and_maintenance_occupations_puma,production_transportation_and_material_moving_occupations_puma,agriculture_forestry_fishing_hunting_mining_industries_puma,construction_industries_puma,manufacturing_industries_puma,arts_entertainment_recreation_accommodation_food_services_puma,educational_services_health_care_social_assistance_industries_puma,finance_insurance_real_estate_rental_leasing_industries_puma,information_industries_puma,other_service_industries_puma,professional_scientific_management_administrative_waste_management_services_industries_puma,wholesale_trade_industries_puma,public_administration_industries_puma,retail_trade_industries_puma,transportation_warehousing_utilities_industries_puma,sch_enrol_puma,pre_k_puma,familychild_puma,marriedchild_puma,nonfamilychild_puma,marriednochild_puma,cohabitating_puma,grandrearers_puma,lonelyaged_puma,disabled_puma,median_value_puma,private_wage_and_salary_workers_class_puma,government_workers_class_puma,self_employed_class_puma,rental_vac_puma,labor_force_participation_puma,no_kitchen_puma,more_than_one_puma,veteran_puma,internet_puma,computer_puma
2,208,108485,56391,36385,18.01158197,81.98841803,38.37744223,18.76522163,37.57103426,18.80581263,45.73074619,34.12268977,13.12347329,0.212010877,5.057842098,4.252200765,5487,49611,37018,14237,230,4613,7.414550642,20.24556156,68.33027788,31.66972212,1220,4224,6321,7435,8086,6455,5909,5785,3721,2278,942,3389,5591,7617,7781,7431,7643,7415,4547,3444,2471,7.017560031,21.04807116,16.0418491,27.44730261,38.07833155,34.47436584,78.60175268,21.39824732,50.78899989,27.10135207,31.56657602,68.43342398,3.714410863,2.105416849,2.055774566,0,0.43217988,5.422689444,3.396116221,4.181632355,1.629434954,0.17520806,0.697912104,0.023361075,0.394218134,0.309534239,0,0.157687254,0.116805373,0,0,44.92042634,8.64651774,8.097532486,0.569426194,87.77363954,88.98333097,0.4885,39.33470658,17.95099432,37.3471223,9.899955036,35.31696256,12.52412196,20.06899833,53.19612975,39.24280276,3.652153224,5680,5.506650638,10610,10.28619072,2002,1.940900454,18292,17.73374181,39.31325326,25.25168999,23.77565998,4.308188452,7.351208319,0.597440721,2.892109234,2.573749819,11.72968391,34.27118434,9.267566618,3.289024869,6.063299775,9.852603725,4.250304922,3.669402353,9.391602754,4.463233622,80.39255024,64.76384642,30.01495562,14.96285218,0.016885372,19.36993439,23.68535315,1.294430123,13.7253956,10.79849641,292100,107.1155397,15.35567362,6.278295743,25.19065777,62.63737518,0.513797761,8.720088769,8.090505596,69.42547877,0.833781373
2,212,141622,45889,31631,19.85679029,80.14320971,49.59327999,15.13441128,21.80240601,6.667994732,22.51062688,7.109771081,66.10201805,0.339636497,2.087952437,2.626710539,2957,31880,10069,93615,481,3720,10.12759673,26.19316127,63.8508841,36.1491159,1174,4997,9553,11352,8288,7753,9140,6966,3829,1946,589,4645,9294,11424,10713,10840,11556,8519,5592,3226,1400,6.808264253,24.94174634,11.70863284,29.34235396,34.24422815,36.41341789,78.80020654,21.19979346,57.69461477,33.16115702,39.359704,60.640296,3.753004916,0.166840085,1.132001005,0.008969897,0,0.290624664,0.63327473,0.981306735,0.414409243,0.021527753,0.252951096,0.385705572,0.096874888,0.064583259,0,0.590219224,0,0,0.032291629,70.03336802,3.790678483,7.484482078,0,90.38937337,90.45142501,0.4458,43.20406253,20.63692842,32.22578735,8.914286724,26.34210694,20.05234377,8.789968177,26.91468404,18.19366571,1.0031823,10171,7.250137219,15157,10.8042798,2465,1.757112206,27793,19.81152922,28.1783049,31.91797708,22.56130064,8.005730277,9.3366871,0.116604478,5.20222548,2.680237207,7.386060768,39.5605677,6.22168177,1.948960554,6.191697761,7.720882196,5.950159915,3.574760128,10.91251333,7.017923774,77.58575486,57.05329154,39.96638083,15.44992234,0.148945677,15.25842075,17.1266251,2.200328021,9.343149563,12.09924669,393200,106.6381263,17.27745203,3.266591151,40.73467478,64.22609025,0.727706024,7.966465945,8.009021852,69.45572161,0.818648227
2,210,123832,54911,40955,17.05153606,82.94846394,50.68547744,15.29571178,24.89695065,9.60123887,34.8286388,33.64719943,26.69826862,0.352089928,2.619678274,3.499903095,3244,43129,41666,33061,436,4334,6.391984777,13.64903684,56.58372761,43.41627239,1109,2987,7031,8251,6868,7806,8692,6956,4873,3255,905,2862,6770,8109,7903,7820,10047,8894,6618,4950,2235,4.723334841,19.15256153,18.44111377,34.17866555,31.31421151,34.50712294,82.7396017,17.2603983,43.94340961,23.23714958,20.15876349,79.84123651,2.459640268,1.410086929,10.58766975,0.052077074,0,3.076553299,2.351480191,3.096582943,1.073588912,0.232343869,2.259343829,0,0.380563234,0.052077074,0,0.636942675,0.024035573,0,0.076112647,40.61611185,6.052958378,11.31274286,0.624924889,90.60280677,90.26440203,0.4457,28.14911652,12.86049238,36.85857442,10.43558388,34.96113552,11.59597837,10.91089394,38.21482756,26.43262165,1.579041048,4583,3.807174068,7924,6.582598149,2520,2.093405772,15027,12.48317799,33.988273,24.22244883,27.6422172,6.347876757,7.799184209,0.056449851,4.89292738,2.410954913,7.282030738,33.73880108,10.17554083,2.292592323,3.645567776,10.44504334,6.666545269,6.398863719,9.184936995,7.618908879,81.98544092,57.34557596,27.73952349,13.70606624,0.054917202,21.9774417,22.48225752,1.117910261,14.75582967,13.85953804,346600,100.4497778,24.02214291,3.115667565,13.24732536,59.7423401,0.475245015,3.489354512,13.35544103,67.86822529,0.822529224
2,211,129963,46543,31983,23.93412079,76.06587921,44.58578214,14.56979539,23.7926553,9.222859903,44.17411109,24.18765341,21.58152705,0.116956365,8.049983457,3.222455622,10462,57410,31435,28048,152,4188,8.421483256,26.89943057,71.10869121,28.89130879,1168,4159,9262,9048,9958,8862,8468,6628,3472,2078,890,4049,8141,8357,10632,8810,8961,7457,4868,3572,2291,6.315643683,23.7375253,13.21222194,33.63882326,34.69057236,31.67060437,80.16279464,19.83720536,52.42789689,29.16347626,34.95302509,65.04697491,0.812310131,0.431470964,5.408796724,0,0.052833179,2.188174173,6.218905473,6.538105931,2.003258046,0.02641659,0.206929952,0.107867741,0.345617048,0.127680183,0.110069123,0.138687095,0.044027649,0,0,34.82807203,14.83731784,8.319024347,0.180513362,90.26666532,89.38502131,0.4594,45.71725437,20.24048096,38.10276756,9.010847899,28.7030105,15.56296649,22.26109811,56.77631309,36.44532052,4.017904809,8948,7.086738896,13918,11.02293607,2714,2.149464614,25580,20.25913958,30.46232135,28.15793273,22.98975025,8.068066984,10.32192868,0.068572254,6.030749242,4.32546557,11.41006208,33.68521727,7.147755161,1.921827631,4.639454309,7.871372889,5.758264761,3.71553342,10.97336509,6.743539772,78.74159889,51.32614398,37.22861226,18.16738129,0.213253477,17.74541165,18.33526169,1.53174695,10.2202863,13.17901575,430600,111.3920167,16.57283095,4.352533564,33.75935162,62.41306762,0.437850223,9.70303319,7.15533474,68.6990784,0.828925693
2,203,166534,22154,19497,39.01437594,60.98562406,44.34549926,7.854225573,10.89624839,3.042022815,62.74574561,4.617075192,30.52770005,0.132105156,0.776418029,3.438937394,1293,104493,7689,50839,220,5727,10.23880695,54.645314,92.72875213,7.271247873,906,7647,12957,16142,11131,8623,9204,5845,2972,1269,369,7473,13613,16395,13302,12048,11482,7452,5120,2447,1043,9.079227065,30.56432921,7.938318902,28.02279291,39.55389899,32.42330809,71.17434259,28.82565741,61.05416401,35.38209955,30.90299879,69.09700121,0.137960516,0.217627856,0.565443805,0.007772423,0,0.86856832,0.720892274,0.404166019,0.386678066,0,0.297295197,0.893828696,0.034975905,0,0,2.129644023,0.040805223,0,0,53.5481113,18.94528214,7.706357842,0.083553552,86.95452894,87.08374118,0.4943,66.75059009,37.52354603,24.59950018,8.440133286,28.74472964,29.53805755,27.73653691,63.18240057,54.23738888,0.591755056,27187,16.83833047,38648,23.93672697,5191,3.215057693,71026,43.99011514,17.59824529,38.81922866,23.54596966,6.867117529,13.16943886,0.349113508,3.902394443,3.463717785,11.2337781,32.16048254,5.93127399,1.716322427,7.261926522,8.219703893,6.139645403,3.467373424,12.97934564,7.73350393,76.34278354,48.51112565,45.75967157,11.94430061,0.273688882,8.197721725,17.05562542,2.313374059,9.124195577,13.86506696,372400,115.2184244,13.60811552,5.783220618,42.56916148,55.19002726,0.895036615,14.72742067,4.379022117,59.12502606,0.73973174
2,206,166534,22154,19497,39.01437594,60.98562406,44.34549926,7.854225573,10.89624839,3.042022815,62.74574561,4.617075192,30.52770005,0.132105156,0.776418029,3.438937394,1293,104493,7689,50839,220,5727,10.23880695,54.645314,92.72875213,7.271247873,906,7647,12957,16142,11131,8623,9204,5845,2972,1269,369,7473,13613,16395,13302,12048,11482,7452,5120,2447,1043,9.079227065,30.56432921,7.938318902,28.02279291,39.55389899,32.42330809,71.17434259,28.82565741,61.05416401,35.38209955,30.90299879,69.09700121,0.137960516,0.217627856,0.565443805,0.007772423,0,0.86856832,0.720892274,0.404166019,0.386678066,0,0.297295197,0.893828696,0.034975905,0,0,2.129644023,0.040805223,0,0,53.5481113,18.94528214,7.706357842,0.083553552,86.95452894,87.08374118,0.4943,66.75059009,37.52354603,24.59950018,8.440133286,28.74472964,29.53805755,27.73653691,63.18240057,54.23738888,0.591755056,27187,16.83833047,38648,23.93672697,5191,3.215057693,71026,43.99011514,17.59824529,38.81922866,23.54596966,6.867117529,13.16943886,0.349113508,3.902394443,3.463717785,11.2337781,32.16048254,5.93127399,1.716322427,7.261926522,8.219703893,6.139645403,3.467373424,12.97934564,7.73350393,76.34278354,48.51112565,45.75967157,11.94430061,0.273688882,8.197721725,17.05562542,2.313374059,9.124195577,13.86506696,372400,115.2184244,13.60811552,5.783220618,42.56916148,55.19002726,0.895036615,14.72742067,4.379022117,59.12502606,0.73973174
2,207,125254,31513,23333,31.62088193,68.37911807,46.02388991,11.55489053,16.51447718,4.959586658,67.02380762,7.373018027,17.06452489,0.197199291,6.842096859,4.477302122,8570,83950,9235,21374,247,5608,9.768715446,43.46611891,93.44534712,6.55465288,1136,5313,8375,10031,10358,8365,7617,4783,2728,1082,474,5097,9005,9241,11026,9238,9088,6484,3927,1720,1302,8.311111821,26.03829019,8.968176665,26.80785232,42.13618213,31.05596555,77.0847895,22.9152105,62.92975697,37.43825331,41.90604691,58.09395309,0.499152203,0.15812837,0.137171598,0,0,2.206176532,7.218655337,2.16616815,1.175484387,0.066680638,0.554401875,0.196231591,0.382937377,0.045723866,0,0.051439349,0.095258054,0,0,53.11589095,15.73472537,7.336775324,0.31625674,87.26144214,86.63814382,0.4725,68.38470039,34.99476569,28.48333744,9.701017812,30.98919867,20.69562408,34.27954443,71.79391174,59.52770715,2.419804256,13640,11.05196205,22675,18.37267151,3062,2.481019633,39377,31.90565319,19.52519093,35.98958025,26.14804728,7.508929805,10.82825173,0.033548438,6.115682908,3.496931305,13.00100645,29.13188483,6.431432913,2.113551596,6.547865727,7.722061058,5.166459456,2.705582855,15.10863774,5.955834468,71.40443247,40.95147024,39.80336041,14.72950517,0.3808161,9.861983013,18.63229321,2.238571914,8.077917282,12.65941228,221300,117.1156237,11.86430644,6.652457916,34.33165195,62.75618448,1.331702363,15.77732644,4.724427622,63.15923136,0.823224414
2,205,132462,24849,18710,35.10983445,64.89016555,45.56366294,7.955784101,12.18373706,4.227952963,68.07763736,1.464570971,27.70454923,0.170614969,1.336987211,3.717292507,1771,90177,1940,36698,226,4924,11.3964687,51.4730572,96.40072675,3.599273246,1041,5825,9866,11567,8592,8055,8339,5181,2698,863,187,5400,9793,12030,11586,9352,10089,7462,3332,1707,538,8.474128429,28.41871631,7.039754798,26.58969688,44.33591606,29.07438706,73.47746322,26.52253678,64.13779941,39.89884531,41.38318914,58.61681086,0.072970064,0.166006896,0.198843424,0,0,0.09121258,1.630880931,0.461535655,0.094861083,0,0.155061386,0.111279348,0.142291625,0.10215809,0,1.291570133,0.01094551,0,0,66.15466005,13.00873817,5.702610504,0.016418264,86.9824295,86.85706286,0.4702,68.48352584,39.97699908,27.16828447,9.498119672,27.3935742,26.59782434,35.49164034,70.90409693,62.49082376,0.387670431,19899,15.19193184,31454,24.01361998,3143,2.399529714,54496,41.60508154,14.14912808,40.743636,23.50771698,7.31208659,14.28743235,0.222489477,4.706353979,4.509921828,13.22709962,29.15013029,6.259771497,1.286831028,8.184004811,7.394267388,5.720585288,2.246943275,13.93866506,6.58047705,74.85838507,48.63685932,44.08132288,12.73659759,0.225385801,9.017731883,16.92923346,2.626326938,6.563786481,14.6819084,402500,115.660453,10.08418521,7.616756865,47.39952719,61.4937801,1.425910168,16.24617649,4.337526736,56.41289514,0.769525045
2,204,141467,26349,20801,37.61155107,62.38844893,42.75187214,9.190851018,13.07510108,3.884250066,64.41078131,1.405274728,31.10053935,0.328698566,1.556546756,3.337880919,2202,91120,1988,43997,465,4722,9.204687678,49.99055277,92.93766926,7.062330737,1041,6076,11749,11640,9250,8014,8816,6194,3463,1137,427,5339,10730,12339,10800,10348,10132,7302,4371,2362,978,8.06901963,28.90143991,9.004220065,27.43532011,47.9756999,24.58897999,75.48073512,24.51926488,62.42517337,38.53034855,40.16413722,59.83586278,0.10207853,0.174237491,0.223516781,0,0,1.02430525,1.399179852,0.263996198,0.371354652,0.038719442,0.144317922,0.147837871,0.28335592,0.040479417,0,2.210528168,0,0,0,59.33578556,14.31211391,6.592865063,0.047519316,90.00109365,90.869373,0.4755,70.15856702,39.73860988,27.43811179,10.37620964,30.73079588,23.47322235,34.83222096,70.15578384,59.43468766,0.652815797,19343,13.88147319,29460,21.14192215,4191,3.007664485,52994,38.03105982,16.83047168,38.61259128,24.2214328,6.394316163,13.94118808,0.084862838,4.306295638,4.675350306,12.56562068,29.7967239,5.522005131,1.47621867,7.112689955,7.333728044,6.785079929,3.505032564,13.95302941,7.37714624,76.66489393,46.67130596,42.39917704,13.79295866,0.178447715,8.298868432,17.96443642,2.365976471,10.11063758,15.21640156,211900,115.4351687,12.7985001,6.743635287,42.69814503,57.25907384,0.686498856,16.8979489,4.73201352,55.67122145,0.723730051
2,209,186386,36951,26775,30.26242136,69.73757864,45.63926044,11.62306902,16.3986198,4.775550784,57.55153284,2.4878478,30.24905304,0.14754327,6.935070231,5.037395513,12926,107268,4637,56380,275,9389,8.139422878,34.47806546,78.70006963,21.29993037,1072,6548,13109,14141,14302,10824,11870,9139,4870,2407,674,7273,11693,13929,14853,13092,13322,11698,7147,3855,1640,7.415256511,24.98309959,11.04857661,24.81079487,36.48324183,38.7059633,78.37720171,21.62279829,54.19976271,31.60731163,31.89617246,68.10382754,0.353238015,0.117746005,0.447434819,0,0,1.919259882,9.690496215,1.835155593,0.873002523,0.008410429,0.006728343,0.136248949,0.3313709,0.09587889,0,0.607232969,0.035323802,0,0,40.01345669,18.39529016,18.22708158,0.179983179,90.55006043,88.81369788,0.4673,55.07056473,26.70084895,30.66938273,9.69525524,28.62410584,21.26353105,25.15863588,57.03184307,47.55251644,1.561150871,18220,9.841945486,29436,15.90052181,4544,2.454544472,52200,28.19701176,23.11382991,30.10008929,26.42703877,8.940066371,11.41897565,0.029320432,6.663734623,3.534444844,11.19507417,30.06410513,6.899630829,2.344301841,5.469593379,8.68018072,6.365199312,4.131515467,11.65220636,7.504697933,73.73360259,45.07018993,39.44419827,13.4629993,0.121858581,13.43767804,18.22181427,1.97769867,9.637905932,12.424231,361600,110.8712167,17.92944438,4.76723575,20.39331367,59.81546972,0.659935431,10.95777679,7.555232006,68.94596241,0.829107497
